obs_id,species,stage,character,attribute,state,source
,Nectadamas diomedeae,adult,Proximal heteroneme width (um),max,20,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Proximal heteroneme width (um),min,18,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Distal heteroneme length (um),point,27,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Distal heteroneme width (um),point,19,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Distal heteroneme number,min,50,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Distal heteroneme number,max,70,Pugh1992a_Nectopyramidinae
,Frillagalma vityazi,adult,Depth (m),point,892,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,830,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,841,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,833,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,784,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,810,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,795,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,696,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,722,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Depth (m),point,683,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Tentacle number,max,20,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Heteroneme number,point,3,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Haploneme number,point,21,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Heteroneme length (um),point,90,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Heteroneme length (um),point,150,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Heteroneme width (um),point,50,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Haploneme length (um),point,70,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Haploneme number,min,30,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Haploneme number,max,35,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Haploneme width (um),point,7,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Cnidosac length (um),point,250,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Cnidosac width (um),point,173,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Central ampulla length (um),point,550,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Distal ampulla length (um),point,1100,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Central ampulla width (um),point,250,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Distal ampulla width (um),point,250,Pugh1998_Frillagalma
,Frillagalma vityazi,adult,Distal ampulla sidebranch length (um),point,400,Pugh1998_Frillagalma
,Frillagalma vityazi,proximal,Central ampulla length (um),point,400,Pugh1998_Frillagalma
,Frillagalma vityazi,proximal,Distal ampulla length (um),point,700,Pugh1998_Frillagalma
,Frillagalma vityazi,proximal,Central ampulla width (um),point,170,Pugh1998_Frillagalma
,Frillagalma vityazi,proximal,Distal ampulla width (um),point,260,Pugh1998_Frillagalma
,Frillagalma vityazi,proximal,Distal ampulla sidebranch length (um),point,1400,Pugh1998_Frillagalma
,Bargmannia elongata,adult,Depth (m),point,833,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Depth (m),point,747,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Depth (m),point,780,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Heteroneme number,point,4,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Heteroneme number,point,5,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Gastrozooid length (mm),max,10,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Heteroneme number,max,6,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Heteroneme length (um),point,120,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Heteroneme width (um),point,80,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Haploneme length (um),point,16,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Haploneme width (um),point,11,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Haploneme length (um),point,8.5,Pugh1999b_Bargmannia
,Bargmannia elongata,adult,Haploneme width (um),point,8.5,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Depth (m),point,841,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Depth (m),point,890,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Gastrozooid length (mm),max,10,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Tentilla per tentacle,point,10,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Cnidoband length (um),point,5000,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Haploneme length (um),point,20,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Haploneme width (um),point,14,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Haploneme length (um),point,12,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Haploneme width (um),point,11,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Heteroneme number,max,26,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Heteroneme length (um),point,135,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Heteroneme width (um),point,105,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Depth (m),mean,625,Pugh1999b_Bargmannia
,Bargmannia amoena,adult,Depth (m),sd,130,Pugh1999b_Bargmannia
,Bargmannia lata,proximal,Gastrozooid length (mm),max,7,Pugh1999b_Bargmannia
,Bargmannia lata,proximal,Pedicle length (um),point,1000,Pugh1999b_Bargmannia
,Bargmannia lata,proximal,Cnidoband length (um),point,2500,Pugh1999b_Bargmannia
,Bargmannia lata,adult,Cnidoband length (um),max,8000,Pugh1999b_Bargmannia
,Bargmannia lata,adult,Heteroneme number,min,4,Pugh1999b_Bargmannia
,Bargmannia lata,adult,Heteroneme number,max,6,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,Heteroneme length (um),point,40,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,Heteroneme width (um),point,28,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,Haploneme length (um),max,17,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,Haploneme length (um),min,13,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,Haploneme width (um),max,10.5,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,Haploneme width (um),min,9.5,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,?Cnidoband desmoneme length (um),point,6.5,Pugh1999b_Bargmannia
,Pyrostephos vanhoeffeni,adult,?Cnidoband desmoneme width (um),point,6.5,Pugh1999b_Bargmannia
,Erenna richardi,adult,Depth (m),point,5310,Pugh2001_Erenna
,Erenna richardi,adult,Depth (m),point,871,Pugh2001_Erenna
,Erenna richardi,adult,Depth (m),point,701,Pugh2001_Erenna
,Erenna richardi,adult,Pedicle length (um),min,4000,Pugh2001_Erenna
,Erenna richardi,adult,Pedicle length (um),max,5000,Pugh2001_Erenna
,Erenna richardi,adult,Cnidoband length (um),max,15000,Pugh2001_Erenna
,Erenna richardi,adult,Haploneme length (um),point,165,Pugh2001_Erenna
,Erenna richardi,adult,Haploneme width (um),point,32,Pugh2001_Erenna
,Erenna richardi,adult,Haploneme length (um),point,43,Pugh2001_Erenna
,Erenna richardi,adult,Haploneme width (um),point,15,Pugh2001_Erenna
,Erenna richardi,adult,Haploneme length (um),point,27,Pugh2001_Erenna
,Erenna richardi,adult,Haploneme width (um),point,20,Pugh2001_Erenna
,Erenna richardi,adult,Tentacle length (mm),min,720,Margulis1977_Erenna1
,Erenna richardi,adult,Terminal filament length (um),point,10000,Pugh2001_Erenna
,Erenna richardi,adult,Depth (m),point,2500,Pugh2001_Erenna
,Erenna laciniata,adult,Depth (m),point,811,Pugh2001_Erenna
,Erenna laciniata,adult,Depth (m),point,853,Pugh2001_Erenna
,Erenna laciniata,adult,Gastrozooid length (fixed) (mm),max,15,Pugh2001_Erenna
,Erenna laciniata,adult,Tentacle number,point,25,Pugh2001_Erenna
,Erenna laciniata,adult,Haploneme length (um),point,128,Pugh2001_Erenna
,Erenna laciniata,adult,Haploneme width (um),point,27,Pugh2001_Erenna
,Erenna laciniata,adult,Heteroneme length (um),point,32,Pugh2001_Erenna
,Erenna laciniata,adult,Heteroneme width (um),point,18,Pugh2001_Erenna
,Erenna laciniata,adult,Heteroneme length (um),point,40,Pugh2001_Erenna
,Erenna laciniata,adult,Heteroneme width (um),point,15,Pugh2001_Erenna
,Erenna cornuta,adult,Depth (m),point,896,Pugh2001_Erenna
,Erenna cornuta,adult,Gastrozooid length (fixed) (mm),max,6,Pugh2001_Erenna
,Erenna cornuta,adult,Haploneme length (um),point,130,Pugh2001_Erenna
,Erenna cornuta,adult,Haploneme width (um),point,35,Pugh2001_Erenna
,Erenna cornuta,adult,Haploneme length (um),point,32,Pugh2001_Erenna
,Erenna cornuta,adult,Haploneme width (um),point,11,Pugh2001_Erenna
,Erenna cornuta,adult,Haploneme length (um),point,41,Pugh2001_Erenna
,Erenna cornuta,adult,Haploneme width (um),point,14,Pugh2001_Erenna
,Erenna cornuta,adult,Cnidoband length (um),point,17000,Pugh2001_Erenna
,Erenna cornuta,adult,Number of serial patches,point,17,Pugh2001_Erenna
,Paraerenna emilyae,adult,Depth (m),point,823,Pugh2001_Erenna
,Paraerenna emilyae,adult,Gastrozooid length (fixed) (mm),point,7.5,Pugh2001_Erenna
,Paraerenna emilyae,adult,Number of hepatic stripes,point,8,Pugh2001_Erenna
,Paraerenna emilyae,adult,Haploneme length (um),point,120,Pugh2001_Erenna
,Paraerenna emilyae,adult,Haploneme width (um),point,20,Pugh2001_Erenna
,Paraerenna emilyae,adult,Haploneme length (um),point,21,Pugh2001_Erenna
,Paraerenna emilyae,adult,Haploneme width (um),point,12,Pugh2001_Erenna
,Paraerenna emilyae,adult,Haploneme length (um),point,26,Pugh2001_Erenna
,Paraerenna emilyae,adult,Haploneme width (um),point,15,Pugh2001_Erenna
,Forskalia edwardsi,adult,Peduncle/Gastrozooid length,point,2,Pugh2003_Forskaliidae
,Forskalia edwardsi,adult,Number of coils,min,2,Pugh2003_Forskaliidae
,Forskalia edwardsi,adult,Number of coils,max,3,Pugh2003_Forskaliidae
,Forskalia edwardsi,adult,Number of heteroneme rows per side,point,1,Pugh2003_Forskaliidae
,Forskalia edwardsi,adult,Desmonemes/Rhopalonemes,point,0.5,Pugh2003_Forskaliidae
,Forskalia edwardsi,larva,Cnidoband proximal nude portion,max,0.5,Pugh2003_Forskaliidae
,Forskalia edwardsi,larva,Cnidoband proximal nude portion,min,0.33,Pugh2003_Forskaliidae
,Forskalia contorta,adult,Number of coils,min,3,Pugh2003_Forskaliidae
,Forskalia contorta,adult,Number of coils,max,7,Pugh2003_Forskaliidae
,Forskalia contorta,adult,Number of heteroneme rows per side,point,1,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Depth (m),point,590,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Basigaster proportion,point,0.5,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Number of hepatic stripes,point,16,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Number of coils,point,2.5,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Number of heteroneme rows per side,point,1,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Heteroneme length (um),point,45,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Heteroneme width (um),point,22,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Haploneme length (um),point,25,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Haploneme width (um),point,5,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Gastrozooid length (mm),point,4.4,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Depth (m),point,0,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Depth (m),point,326,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Depth (m),point,748,Pugh2003_Forskaliidae
,Forskalia formosa,adult,Number of gastrozooid rows per spiral,point,4,Pugh2003_Forskaliidae
,Forskalia tholoides,adult,Number of coils,min,3,Pugh2003_Forskaliidae
,Forskalia tholoides,adult,Number of coils,max,4,Pugh2003_Forskaliidae
,Forskalia tholoides,larva,Cnidoband proximal nude portion,point,0.5,Pugh2003_Forskaliidae
,Forskalia tholoides,adult,Depth (m),max,100,Pugh2003_Forskaliidae
,Forskalia tholoides,adult,Depth (m),min,0,Pugh2003_Forskaliidae
,Forskalia asymmetrica,adult,Depth (m),point,432,Pugh2003_Forskaliidae
,Forskalia asymmetrica,adult,Gastrozooid length (mm),point,4.6,Pugh2003_Forskaliidae
,Forskalia asymmetrica,adult,Peduncle length (mm),point,4.5,Pugh2003_Forskaliidae
,Forskalia asymmetrica,adult,Peduncle/Gastrozooid length,point,1,Pugh2003_Forskaliidae
,Forskalia asymmetrica,adult,Number of coils,point,6,Pugh2003_Forskaliidae
,Forskalia saccula,adult,Number of gastrozooids,point,7,Pugh2003_Forskaliidae
,Forskalia saccula,adult,Number of coils,point,4,Pugh2003_Forskaliidae
,Forskalia saccula,adult,Depth (m),min,0,Pugh2003_Forskaliidae
,Physophora gilmeri,adult,Depth (m),point,488,Pugh2005_Physophora
,Physophora gilmeri,adult,Peduncle length (mm),point,2.2,Pugh2005_Physophora
,Physophora gilmeri,adult,Number of hepatic stripes,point,12,Pugh2005_Physophora
,Physophora gilmeri,adult,Number of coils,point,6,Pugh2005_Physophora
,Physophora gilmeri,adult,Number of coils,point,7,Pugh2005_Physophora
,Physophora gilmeri,adult,Cnidosac length (um),point,1000,Pugh2005_Physophora
,Physophora gilmeri,adult,Heteroneme length (um),point,93,Pugh2005_Physophora
,Physophora gilmeri,adult,Heteroneme width (um),point,30,Pugh2005_Physophora
,Physophora gilmeri,adult,Number of heteroneme rows per side (proximal cnidoband),point,1,Pugh2005_Physophora
,Physophora gilmeri,adult,Number of heteroneme rows per side (distal cnidoband),point,0,Pugh2005_Physophora
,Physophora hydrostatica,adult,Pedicle length (um),point,6000,Pugh2005_Physophora
,Physophora hydrostatica,adult,Cnidosac length (um),point,2000,Pugh2005_Physophora
,Physophora hydrostatica,adult,Number of coils,point,8,Pugh2005_Physophora
,Physophora hydrostatica,adult,Pedicle width (um),point,300,Pugh2005_Physophora
,Physophora gilmeri,adult,Pedicle width (um),point,100,Pugh2005_Physophora
,Resomia ornicephala,adult,Depth (m),point,233,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,241,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,201,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,192,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,164,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,219,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,200,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,219,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,219,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,237,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,211,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,254,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,286,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,206,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,210,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,200,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,199,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,199,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,216,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,201,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,197,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,271,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,239,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,239,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,267,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,267,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,298,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,190,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,212,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,230,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,229,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,201,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,208,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,262,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,200,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,179,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,183,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,219,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,244,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,257,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,218,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,266,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,264,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,209,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,285,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,192,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,201,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,221,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,210,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,232,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,189,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,139,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,197,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,241,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,268,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,188,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),point,246,Pugh2009cResomiid
,Resomia ornicephala,adult,Tentacle number,min,6,Pugh2009cResomiid
,Resomia ornicephala,adult,Tentacle number,max,7,Pugh2009cResomiid
,Resomia ornicephala,adult,Gastrozooid length (mm),max,7.8,Pugh2009cResomiid
,Resomia ornicephala,adult,Gastrozooid width (mm),max,3.7,Pugh2009cResomiid
,Resomia ornicephala,adult,Involucrum pigment dots fluorescence peak (nm),point,536,Pugh2009cResomiid
,Resomia ornicephala,adult,Number of zags,mean,3,Pugh2009cResomiid
,Resomia ornicephala,adult,Involucrum pigment stripe fluorescence peak (nm),point,518,Pugh2009cResomiid
,Resomia ornicephala,adult,Heteroneme length (um),point,75,Pugh2009cResomiid
,Resomia ornicephala,adult,Heteroneme width (um),point,19,Pugh2009cResomiid
,Resomia ornicephala,adult,Haploneme length (um),max,75,Pugh2009cResomiid
,Resomia ornicephala,adult,Haploneme width (um),max,10,Pugh2009cResomiid
,Resomia ornicephala,adult,Haploneme length (um),min,40,Pugh2009cResomiid
,Resomia ornicephala,adult,Haploneme width (um),min,6.5,Pugh2009cResomiid
,Resomia ornicephala,adult,Number of zags with heteronemes,mean,1,Pugh2009cResomiid
,Resomia ornicephala,adult,Number of heteroneme rows per side (proximal cnidoband),max,3,Pugh2009cResomiid
,Resomia ornicephala,adult,Number of heteroneme rows per side (proximal cnidoband),min,2,Pugh2009cResomiid
,Resomia ornicephala,adult,Number of heteroneme rows per side (distal cnidoband),mean,1,Pugh2009cResomiid
,Resomia ornicephala,adult,Heteroneme number,max,300,Pugh2009cResomiid
,Resomia ornicephala,adult,Heteroneme number,min,170,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament desmoneme length (um),max,28,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament desmoneme length (um),min,26,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament desmoneme width (um),max,19,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament desmoneme width (um),min,18.5,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament rhopaloneme length (um),max,28,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament rhopaloneme length (um),min,18.5,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament rhopaloneme width (um),max,8,Pugh2009cResomiid
,Resomia ornicephala,adult,Terminal filament rhopaloneme width (um),min,6.6,Pugh2009cResomiid
,Resomia ornicephala,adult,Desmoneme/Rhopaloneme ratio,mean,0.25,Pugh2009cResomiid
,Resomia ornicephala,larva,Heteroneme length (um),point,60,Pugh2009cResomiid
,Resomia ornicephala,larva,Heteroneme width (um),point,24,Pugh2009cResomiid
,Resomia ornicephala,larva,Heteroneme number,max,30,Pugh2009cResomiid
,Resomia ornicephala,larva,Heteroneme number,min,25,Pugh2009cResomiid
,Resomia ornicephala,larva,Haploneme length (um),max,40,Pugh2009cResomiid
,Resomia ornicephala,larva,Haploneme length (um),min,29,Pugh2009cResomiid
,Resomia ornicephala,larva,Haploneme width (um),max,6.5,Pugh2009cResomiid
,Resomia ornicephala,larva,Haploneme width (um),min,5,Pugh2009cResomiid
,Resomia ornicephala,larva,Terminal filament desmoneme width (um),max,6.5,Pugh2009cResomiid
,Resomia ornicephala,larva,Terminal filament desmoneme width (um),min,5,Pugh2009cResomiid
,Resomia ornicephala,larva,Terminal filament rhopaloneme length (um),max,10.5,Pugh2009cResomiid
,Resomia ornicephala,larva,Terminal filament rhopaloneme length (um),min,9.2,Pugh2009cResomiid
,Resomia ornicephala,larva,Terminal filament rhopaloneme width (um),point,2.5,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),mean,220,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),sd,32.6,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),max,298,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),min,164,Pugh2009cResomiid
,Resomia ornicephala,adult,Depth (m),mean,221.8,VARS2009
,Resomia ornicephala,adult,Depth (m),sd,54.1,VARS2009
,Resomia persica,adult,Depth (m),point,602,Pugh2009cResomiid
,Resomia persica,adult,Depth (m),point,601,Pugh2009cResomiid
,Resomia persica,adult,Depth (m),point,799,Pugh2009cResomiid
,Resomia persica,adult,Depth (m),point,563,Pugh2009cResomiid
,Resomia persica,adult,Depth (m),point,796,Pugh2009cResomiid
,Resomia persica,adult,Number of zags,point,3.25,Pugh2009cResomiid
,Resomia persica,adult,Tentacle number,point,3,Pugh2009cResomiid
,Resomia persica,adult,Gastrozooid length (mm),max,12,Pugh2009cResomiid
,Resomia persica,adult,Gastrozooid width (mm),max,1.2,Pugh2009cResomiid
,Resomia persica,adult,Heteroneme length (um),max,80,Pugh2009cResomiid
,Resomia persica,adult,Heteroneme length (um),min,74,Pugh2009cResomiid
,Resomia persica,adult,Heteroneme width (um),max,21,Pugh2009cResomiid
,Resomia persica,adult,Heteroneme width (um),min,18.5,Pugh2009cResomiid
,Resomia persica,adult,Haploneme length (um),point,55,Pugh2009cResomiid
,Resomia persica,adult,Haploneme width (um),point,8,Pugh2009cResomiid
,Resomia persica,adult,Number of zags with heteronemes,point,1,Pugh2009cResomiid
,Resomia persica,adult,Number of heteroneme rows (proximal cnidoband) per side,point,2,Pugh2009cResomiid
,Resomia persica,adult,Number of heteroneme rows (middle cnidoband) per side,point,3,Pugh2009cResomiid
,Resomia persica,adult,Number of heteroneme rows (middle-distal cnidoband) per side,point,2,Pugh2009cResomiid
,Resomia persica,adult,Number of heteroneme rows (distal cnidoband) per side,point,1,Pugh2009cResomiid
,Resomia persica,adult,Number of haplonemes per row (proximal cnidoband),max,1,Pugh2009cResomiid
,Resomia persica,adult,Number of haplonemes per row (middle cnidoband),max,6,Pugh2009cResomiid
,Resomia persica,adult,Number of haplonemes per row (distal cnidoband),max,16,Pugh2009cResomiid
,Resomia persica,adult,Terminal filament desmoneme length (um),point,30,Pugh2009cResomiid
,Resomia persica,adult,Terminal filament desmoneme width (um),point,10,Pugh2009cResomiid
,Resomia persica,adult,Terminal filament rhopaloneme length (um),max,34.5,Pugh2009cResomiid
,Resomia persica,adult,Terminal filament rhopaloneme length (um),min,32,Pugh2009cResomiid
,Resomia persica,adult,Terminal filament rhopaloneme width (um),max,9,Pugh2009cResomiid
,Resomia persica,adult,Terminal filament rhopaloneme width (um),min,8,Pugh2009cResomiid
,Resomia persica,adult,Desmoneme/Rhopaloneme ratio,point,0.25,Pugh2009cResomiid
,Resomia persica,adult,Depth (m),min,563,Pugh2009cResomiid
,Resomia persica,adult,Depth (m),max,799,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,979,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,462,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,808,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,917,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,881,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,661,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,660,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,1620,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,1888,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,1112,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,1233,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,1592,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,916,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),point,772,Pugh2009cResomiid
,Resomia dunni,adult,Tentacle number,mean,1,Pugh2009cResomiid
,Resomia dunni,adult,Tentilla per tentacle,point,10,Pugh2009cResomiid
,Resomia dunni,adult,Heteroneme length (um),point,280,Pugh2009cResomiid
,Resomia dunni,adult,Heteroneme width (um),point,45,Pugh2009cResomiid
,Resomia dunni,adult,Involucrum cover (%),point,100,Pugh2009cResomiid
,Resomia dunni,adult,Heteroneme number,point,200,Pugh2009cResomiid
,Resomia dunni,adult,Number of heteroneme rows per side,point,1,Pugh2009cResomiid
,Resomia dunni,adult,Heteroneme shaft length (um),point,300,Pugh2009cResomiid
,Resomia dunni,adult,Haploneme length (um),max,120,Pugh2009cResomiid
,Resomia dunni,adult,Haploneme length (um),min,75,Pugh2009cResomiid
,Resomia dunni,adult,Haploneme width (um),max,22,Pugh2009cResomiid
,Resomia dunni,adult,Haploneme width (um),min,10,Pugh2009cResomiid
,Resomia dunni,adult,Number of haploneme rows (proximal),min,4,Pugh2009cResomiid
,Resomia dunni,adult,Number of haploneme rows (proximal),max,6,Pugh2009cResomiid
,Resomia dunni,adult,Number of haploneme rows (distal),min,24,Pugh2009cResomiid
,Resomia dunni,adult,Terminal filament desmoneme length (um),max,50,Pugh2009cResomiid
,Resomia dunni,adult,Terminal filament desmoneme width (um),max,23,Pugh2009cResomiid
,Resomia dunni,adult,Terminal filament rhopaloneme length (um),point,30,Pugh2009cResomiid
,Resomia dunni,adult,Terminal filament rhopaloneme width (um),point,13,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),min,462,Pugh2009cResomiid
,Resomia dunni,adult,Depth (m),max,1888,Pugh2009cResomiid
